Generated,Project,Client,Reference_Company,Scenario,Value_Driver,Sub_H_Number,Sub_Hypothesis,Confirm_Evidence,Confirm_Expert,Kill_Evidence,Kill_Expert,Status,Trigger_Keywords
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Operational Model,operational_model,1,The revenue model has identifiable levers — specific drivers of top-line performance that experienced operators track and actively manage,Interviews with former GMs or operations heads who have managed the revenue lines and can explain which levers matter and by how much,Former GM / Operations Head at Peer Company,Revenue is driven by external factors operators cannot influence — insiders confirm no controllable revenue levers exist within the business,Revenue Modeling Specialist,active,margin; margins; ebitda; ebit; initiation fee; membership economics; dues; initiation
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Operational Model,operational_model,2,The cost structure has identifiable fixed and variable drivers — and which costs are controllable vs. structural is known to experienced insiders,Interviews with former CFOs or finance leads at peer operators who can walk through the actual cost build and flag what can and cannot be moved,Former CFO / Finance Lead at Peer Operator,Cost structure is too site-specific to generalize — insiders confirm no benchmarkable cost framework applies across similar operators,Cost Benchmarking Analyst,active,margin; margins; ebitda; ebit; initiation fee; membership economics; dues; initiation
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Operational Model,operational_model,3,Capital requirements and asset intensity follow industry norms that experienced operators can benchmark and anticipate,Interviews with capital allocators or operators who have made investment decisions and can explain what drives capex need and timing,Capital Allocation Executive / Former Operator,Capex is lumpy and highly site-specific — insiders confirm no consistent asset intensity model applies and surprises are common,Asset Condition Assessor,active,margin; margins; ebitda; ebit; initiation fee; membership economics; dues; initiation
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Operational Model,operational_model,4,Operational performance is tracked through internal KPIs that are not publicly disclosed but are well understood by experienced practitioners,Interviews with former operations executives who can name the specific KPIs they tracked and explain what thresholds signal health vs. distress,Former Operations Executive at Peer Company,No consistent KPI framework exists — insiders confirm that each operator tracks different metrics and no benchmarkable standard applies,Industry Benchmarking Analyst,active,margin; margins; ebitda; ebit; initiation fee; membership economics; dues; initiation
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Competitive Movement,competitive_movement,1,"The industry structure is actively changing — consolidation, fragmentation, or disruption is underway in ways that participants can observe firsthand",Interviews with M&A veterans or operators who have seen peers consolidate and can describe the structural forces behind the change,Industry M&A Veteran / Former Acquirer,"The industry structure is stable — insiders confirm no meaningful consolidation, fragmentation, or disruption is occurring or credibly coming",Industry Structure Economist,active,competitor; competitors; ksl; arcis; attrition; membership
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Competitive Movement,competitive_movement,2,The basis of competition is shifting — what it took to win five years ago is not what it takes to win today,Interviews with former strategic operators who have actively adapted their competitive approach and can articulate what changed and why,Former Strategic Operator at Peer Company,The basis of competition is unchanged — long-tenured incumbents confirm the same advantages have delivered wins throughout their careers,Long-Tenured Industry Executive,active,competitor; competitors; ksl; arcis; attrition; membership
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Competitive Movement,competitive_movement,3,New entrant models or substitute offerings are testing the competitive boundaries and some are gaining real traction among participants,Interviews with incumbents who have faced new entrants and can assess their threat credibly — including where entrants have won and where they have failed,Incumbent Operator Who Faced Disruption,New entrants have retreated or remained marginal — incumbents confirm the competitive boundaries are holding and no substitute has gained meaningful share,Former New Entrant / Disruptor Executive,active,competitor; competitors; ksl; arcis; attrition; membership
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Competitive Movement,competitive_movement,4,The likely winners and losers in the next competitive cycle are already visible to informed insiders — even if not yet to the broader market,Interviews with former sector heads or well-networked industry participants who have visibility across competitors and can identify emerging patterns,Former Sector Head / Industry Networker,The competitive outcome is genuinely uncertain — even the most informed insiders disagree and cannot identify likely winners with any confidence,Multi-Operator Perspectives Analyst,active,competitor; competitors; ksl; arcis; attrition; membership
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Market Dynamics,market_dynamics,1,Demand drivers are structural and identifiable — volume in this market follows patterns that experienced participants can explain,Primary research with participants who track demand cycles and can decompose volume into structural vs. cyclical drivers,Industry Volume / Demand Tracker,Volume is idiosyncratic and unpredictable — insiders confirm no structural demand logic exists and cycles cannot be explained ex ante,Market Data Analyst,active,
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Market Dynamics,market_dynamics,2,Pricing mechanisms follow a logic that industry participants understand and can benchmark — outsiders cannot derive it from public data alone,"Deep-dive with operators who have lived through price cycles and can explain the pricing levers, reference points, and negotiating dynamics",Former Operator / Pricing Decision-Maker,Pricing is purely spot or market-driven with no structural logic — incumbents confirm prices are set by external forces they cannot influence,Market Pricing Economist,active,
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Market Dynamics,market_dynamics,3,"Customer and participant decision-making follows a distinct pattern — join, purchase, or renew decisions have a repeatable internal logic",Structured interviews with active participants who can walk through their actual decision process and explain what drives commitment,Active Customer / Participant Decision-Maker,Decisions are highly idiosyncratic — no repeatable pattern exists and even experienced participants cannot predict customer behavior reliably,Consumer Behavior Researcher,active,
2026-06-13 17:09,Golf CDD Test,KKR,ClubCorp,Market Dynamics,market_dynamics,4,Regulatory and structural constraints define the boundaries of the game — incumbents navigate these limits in ways outsiders cannot see,Interviews with participants who have directly encountered regulatory or structural barriers and can explain the practical constraints on operators,Industry Regulatory / Compliance Expert,The regulatory environment is straightforward and imposes no meaningful constraint — incumbents confirm it does not shape competitive dynamics,Industry Association Analyst,active,
